id,name,type,frequency,ac,damageBase,damageType,range,effect,createdAt,updatedAt
52,Switcheroo,Dark,At-Will,2,,Status,"Melee, 1 Target",The user and the target exchange Held Items or Accessory Slot Items.,3/5/2021 22:15:12,3/5/2021 22:15:12
53,Taunt,Dark,EOT,3,,Status,"6, 1 Target, Social",The target becomes Enraged.,3/5/2021 22:15:12,3/5/2021 22:15:12
54,Thief,Dark,At-Will,2,6,Physical,"Melee, 1 Target","Thief takes the target’s Held Item or Accessory Slot Item and attaches it to Thief ’s user, if the user is not holding anything.",3/5/2021 22:15:12,3/5/2021 22:15:12
55,Topsy-Turvy,Dark,EOT,4,,Status,"6, 1 Target","The target’s Combat Stages are inverted; +1 Stage becomes -1 Stage, -3 Stages becomes +3 Stages, etc.",3/5/2021 22:15:12,3/5/2021 22:15:12
56,Torment,Dark,Scene x2,2,,Status,"10, 1 Target, Social",The target becomes Suppressed.,3/5/2021 22:15:12,3/5/2021 22:15:12
57,Draco Meteor,Dragon,Scene,4,13,Special,"8, Ranged Blast 3, Smite",Lower the user’s Special Attack 2 Combat Stages after damage.,3/5/2021 22:15:12,3/5/2021 22:15:12
58,Dragon Claw,Dragon,At-Will,2,8,Physical,"Melee, 1 Target",None,3/5/2021 22:15:12,3/5/2021 22:15:12
59,Dragon Dance,Dragon,EOT,,,Status,Self,Raise the user’s Attack 1 Combat Stage and raise the user’s Speed 1 Combat Stage.,3/5/2021 22:15:12,3/5/2021 22:15:12
60,Dragon Pulse,Dragon,EOT,2,9,Special,"8, 1 Target, Aura",None,3/5/2021 22:15:12,3/5/2021 22:15:12
61,Dragon Rage,Dragon,At-Will,2,,Special,"4, 1 Target","If it hits, Dragon Rage causes the target to lose 15 Hit Points. Dragon Rage is Special and interacts with other moves and effects as such (Special Evasion may be applied to avoid it, Mirror Coat can reflect it, etc.).",3/5/2021 22:15:12,3/5/2021 22:15:12
62,Dragon Rush,Dragon,Scene x2,4,10,Physical,"Melee, 1 Target, Dash, Push, Smite",The target is Pushed 3 meters. Dragon Rush Flinches the target on 17+.,3/5/2021 22:15:12,3/5/2021 22:15:12
63,Dragon Tail,Dragon,At-Will,3,6,Physical,"Melee, 1 Target, Push","The target is Pushed 6 meters minus their Weight Class. On a roll of 15+, the target is also Tripped.",3/5/2021 22:15:12,3/5/2021 22:15:12
64,Dragon Breath,Dragon,EOT,2,6,Special,"6, 1 Target",Dragon Breath Paralyzes the Target on 15+.,3/5/2021 22:15:12,3/5/2021 22:15:12
65,Dual Chop,Dragon,EOT,3,5,Physical,"Melee, 1 Target, Double Strike",None,3/5/2021 22:15:12,3/5/2021 22:15:12
66,Outrage,Dragon,Scene x2,3,12,Physical,"Melee, all adjacent foes, Smite","After damage is dealt, the user becomes Enraged and Confused.",3/5/2021 22:15:12,3/5/2021 22:15:12
67,Roar of Time,Dragon,Daily x2,4,15,Special,"Burst 8, Smite, Exhaust","All legal targets are Slowed, even if the attack misses.",3/5/2021 22:15:12,3/5/2021 22:15:12
68,Spacial Rend,Dragon,Daily x2,3,10,Special,"10, 1 Target",Spacial Rend is a Critical Hit on Even-Numbered Rolls.,3/5/2021 22:15:12,3/5/2021 22:15:12
69,Twister,Dragon,At-Will,2,4,Special,"6, Ranged Blast 3","Small or Medium targets in the central square of the blast are not hit. Twister Flinches the target on 18-20 during Accuracy Check. Any Pokémon Airborne as a result of Fly or Sky Drop above the Blast are hit, ignoring range, and Twister has a Damage Base of 8 against those targets instead.",3/5/2021 22:15:12,3/5/2021 22:15:12
70,Bolt Strike,Electric,Scene x2,5,13,Physical,"10, 1 Target, Smite",Bolt Strike Paralyzes the target on 17+.,3/5/2021 22:15:12,3/5/2021 22:15:12
71,Charge,Electric,EOT,,,Status,Self,"If the user performs an Electric Move on their next turn that deals damage, add its Damage Dice Roll an extra time to the damage. Raise the user’s Special Defense 1 Combat Stage.",3/5/2021 22:15:12,3/5/2021 22:15:12
72,Charge Beam,Electric,At-Will,4,5,Special,"6, 1 Target","If Charge Beam successfully hits a target, roll 1d20. On a roll of 7+, the user’s Special Attack is raised by +1 Combat Stage.",3/5/2021 22:15:12,3/5/2021 22:15:12
73,Discharge,Electric,EOT,2,8,Special,All Cardinally Adjacent Targets,Discharge Paralyzes all legal targets on 15+.,3/5/2021 22:15:12,3/5/2021 22:15:12
74,Eerie Impulse,Electric,EOT,2,,Status,"6, 1 Target",The target’s Special Attack is lowered 2 Combat Stages.,3/5/2021 22:15:12,3/5/2021 22:15:12
75,Electric Terrain,Electric,Daily x2,,,Status,Field,"The field becomes Electrified for 5 rounds. While Electrified, Pokémon and Trainers touching the ground are immune to Sleep, and Electric-Type attacks used by Pokémon and Trainers touching the ground gain a +10 Bonus to Damage Rolls.",3/5/2021 22:15:12,3/5/2021 22:15:12
76,Electrify,Electric,EOT,,,Status,"6, 1 Target","Until the end of the user’s next turn, the target’s damaging Water-Type attacks and Melee attacks of any Type deal Electric-Type Damage instead of their usual Type.",3/5/2021 22:15:12,3/5/2021 22:15:12
77,Electro Ball,Electric,Scene x2,2,6,Special,"10, 1 Target","The user adds their Speed Stat, including Combat Stages, in addition to their Special Attack when determining the damage dealt by Electro Ball. The Defender in turn subtracts both their Special Defense and Speed Stats from the damage dealt before applying Type Effectiveness.",3/5/2021 22:15:12,3/5/2021 22:15:12
78,Electroweb,Electric,EOT,3,6,Special,"4, Ranged Blast 2",All Legal Targets are lowered 1 Speed Combat Stage.,3/5/2021 22:15:12,3/5/2021 22:15:12
79,Fusion Bolt,Electric,Scene x2,2,10,Physical,"8, 1 Target, Smite","If Fusion Flare was used this round or last round by any participant of the encounter, Fusion Bolt has its Damage Base increased by +3.",3/5/2021 22:15:12,3/5/2021 22:15:12
80,Ion Deluge,Electric,Scene,,,Status,"5, Ranged Blast 3, Interupt",An ion cloud is dispersed in the targeted area. All Normal-Type Moves targeting into or originating from the area become Electric-Typed Moves.,3/5/2021 22:15:12,3/5/2021 22:15:12
81,Magnet Rise,Electric,Daily x2,2,,Status,"Self, Swift Action",The user gains the Levitate Ability for 5 turns. Magnet Rise may be activated as a Swift Action if the user is otherwise given an action that consumes a Command.,3/5/2021 22:15:12,3/5/2021 22:15:12
83,Nuzzle,Electric,Scene,2,2,Physical,"Melee, 1 Target",Nuzzle Paralyzes the target.,3/5/2021 22:15:12,3/5/2021 22:15:12
84,Parabolic Charge,Electric,Scene,4,7,Special,Cone 2,"After the targets take damage, the user gains Hit Points equal to half of the total damage they dealt to all targets.",3/5/2021 22:15:12,3/5/2021 22:15:12
85,Shock Wave,Electric,At-Will,,6,Special,"6, 1 Target",Shock Wave cannot miss.,3/5/2021 22:15:12,3/5/2021 22:15:12
86,Spark,Electric,EOT,2,6,Physical,"Melee, 1 Target, Dash",Spark Paralyzes the target on 15+.,3/5/2021 22:15:12,3/5/2021 22:15:12
87,Thunder,Electric,Scene x2,7,11,Special,"12, 1 Target, Smite","Thunder Paralyzes its target on 15+. If the target is in Sunny Weather, Thunder’s Accuracy Check is 11. If the target is in Rainy Weather, Thunder cannot miss. If the target is airborne as a result of Fly or Sky Drop, Thunder cannot miss.",3/5/2021 22:15:12,3/5/2021 22:15:12
88,Thunder Fang,Electric,At-Will,3,7,Physical,"Melee, 1 Target","Thunder Fang Paralyzes or Flinches on 18- 19 during Accuracy Check; flip a coin to determine whether the foe gets Paralyzed or Flinches. On 20 during Accuracy Check, the foe is Paralyzed and Flinched.",3/5/2021 22:15:12,3/5/2021 22:15:12
89,Thunderbolt,Electric,EOT,2,9,Special,"4, 1 Target",Thunderbolt Paralyzes the target on 19+.,3/5/2021 22:15:12,3/5/2021 22:15:12
90,Thunder Punch,Electric,At-Will,2,8,Physical,"Melee, 1 Target",Thunder Punch Paralyzes the target on 19+.,3/5/2021 22:15:12,3/5/2021 22:15:12
91,Thunder Shock,Electric,At-Will,2,4,Special,"4, 1 Target",Thunder Shock Paralyzes the target on 17+.,3/5/2021 22:15:12,3/5/2021 22:15:12
92,Thunder Wave,Electric,Scene x2,4,,Status,"6, 1 Target",Thunder Wave Paralyzes the target. Targets immune to Electric Attacks are immune to Thunder Wave’s effects.,3/5/2021 22:15:12,3/5/2021 22:15:12
93,Volt Switch,Electric,At-Will,2,7,Special,"5, 1 Target","If Volt Switch successfully hits its target, the user deals damage and then immediately is returned to its Poké Ball in the same turn. A New Pokémon may immediately be sent out. Using Volt Switch lets a Trapped user be recalled.",3/5/2021 22:15:12,3/5/2021 22:15:12
94,Volt Tackle,Electric,Scene x2,2,12,Physical,"Melee, 1 Target, Dash, Recoil 1/3",Volt Tackle Paralyzes the target on 19+.,3/5/2021 22:15:12,3/5/2021 22:15:12
95,Wild Charge,Electric,At-Will,2,9,Physical,"Melee, 1 Target, Dash, Recoil 1/3",None,3/5/2021 22:15:12,3/5/2021 22:15:12
96,Zap Cannon,Electric,At-Will,9,12,Special,"12, 1 Target",Zap Cannon Paralyzes the target. Zap Cannon ignores the target’s Evasion if there are no other combatants or Rough or Blocking Terrain within 2 meters of the target.,3/5/2021 22:15:12,3/5/2021 22:15:12
97,Aromatic Mist,Fairy,EOT,,,Status,Burst 1,All allies in Aromatic Mist’s area of effect have their Special Defense raised 1 Combat Stage.,3/5/2021 22:15:12,3/5/2021 22:15:12
98,Baby-Doll Eyes,Fairy,EOT,2,,Status,"4, 1 Target, Priority, Social",The target’s Attack is lowered 1 Combat Stage.,3/5/2021 22:15:12,3/5/2021 22:15:12
99,Charm,Fairy,EOT,2,,Status,"6, 1 Target, Social",Charm lowers the target’s Attack 2 Combat Stages.,3/5/2021 22:15:12,3/5/2021 22:15:12
100,Crafty Shield,Fairy,Scene,,,Status,"Burst 2, Interrupt, Shield, Trigger","If the user or an Ally within 2 meters of Crafty Shield’s user is hit by a Status Move, you may use Crafty Shield as an Interrupt. All targets in Crafty Shield’s areaof- effect including the user, are instead not hit by the triggering Move and do not suffer any of its effects.",3/5/2021 22:15:12,3/5/2021 22:15:12
101,Dazzling Gleam,Fairy,EOT,2,8,Special,Cone 2,None,3/5/2021 22:15:12,3/5/2021 22:15:12
102,Disarming Voice,Fairy,At-Will,,4,Special,Burst 1,Disarming Voice cannot miss.,3/5/2021 22:15:12,3/5/2021 22:15:12
103,Draining Kiss,Fairy,EOT,2,5,Special,"Melee, 1 Target","After the target takes damage, the user gains Hit Points equal to half of the damage they dealt to the target.",3/5/2021 22:15:12,3/5/2021 22:15:12
104,Fairy Lock,Fairy,Scene,,,Status,"Burst 3, Friendly",All legal targets become Trapped and Slowed while the user remains in the encounter. This effect ends if the user switches or is Fainted.,3/5/2021 22:15:12,3/5/2021 22:15:12
105,Fairy Wind,Fairy,At-Will,2,4,Special,"6, 1 Target",None,3/5/2021 22:15:12,3/5/2021 22:15:12
106,Flower Shield,Fairy,Scene,,,Status,Burst 2,All Grass Type Pokémon in Flower Shield’s area of effect have their Defense raised by +2 Combat Stages.,3/5/2021 22:15:12,3/5/2021 22:15:12
107,Geomancy,Fairy,Scene,,,Status,"Self, Set-Up","The user raises its Special Attack, Special Defense, and Speed by 2 Combat Stages each.",3/5/2021 22:15:12,3/5/2021 22:15:12
108,Light of Ruin,Fairy,Scene,4,14,Special,"8, Ranged Blast 3, Smite, Recoil 1/2",None,3/5/2021 22:15:12,3/5/2021 22:15:12
109,Misty Terrain,Fairy,Daily x2,,,Status,Field,"The area becomes Misty for 5 turns. While Misty, all Pokémon and Trainers standing on the ground ignore the first turn of all Status Afflictions, and Dragon-type attacks targeting or originating from a grounded Pokémon or Trainer take a -10 Penalty to Damage Rolls.",3/5/2021 22:15:12,3/5/2021 22:15:12
110,Moonblast,Fairy,EOT,2,10,Special,"6, 1 Target",Moonblast lowers the target’s Special Attack by 1 Combat Stage on 15+.,3/5/2021 22:15:12,3/5/2021 22:15:12
111,Moonlight,Fairy,Daily x2,,,Status,Self,"The user regains Hit Points equal to half of its full Hit Point value. If it is Sunny, the user gains 2/3 of its full Hit Point value. If it is Rainy, Sand Storming or Hailing the user gains 1/4 of their full Hit Point value.",3/5/2021 22:15:12,3/5/2021 22:15:12
112,Play Rough,Fairy,EOT,4,9,Physical,"Melee, 1 Target",Play Rough lowers the target’s Attack 1 Combat Stage on 17-20 during Accuracy Check.,3/5/2021 22:15:12,3/5/2021 22:15:12
113,Sweet Kiss,Fairy,Scene x2,6,,Status,"6, 1 Target, Social","The target becomes Confused. On miss, the target suffers a -2 penalty to Accuracy Rolls for one full round.",3/5/2021 22:15:12,3/5/2021 22:15:12
114,Arm Thrust,Fighting,EOT,4,2,Physical,"Melee, 1 Target, Five Strike",None,3/5/2021 22:15:12,3/5/2021 22:15:12
115,Aura Sphere,Fighting,EOT,,8,Special,"8, 1 Target, Aura",Aura Sphere cannot miss.,3/5/2021 22:15:12,3/5/2021 22:15:12
116,Brick Break,Fighting,At-Will,2,8,Physical,"Melee, 1 Target",Light Screen and Reflect may not be activated in response to Brick Break.,3/5/2021 22:15:12,3/5/2021 22:15:12
117,Bulk Up,Fighting,EOT,,,Status,Self,Raise the user’s Attack 1 Combat Stage and raise the user’s Defense 1 Combat Stage.,3/5/2021 22:15:12,3/5/2021 22:15:12
118,Circle Throw,Fighting,At-Will,4,6,Physical,"Melee, 1 Target, Push","The target is Pushed 6 meters minus their Weight Class. On 15+, the target is also Tripped.",3/5/2021 22:15:12,3/5/2021 22:15:12
119,Close Combat,Fighting,Scene x2,2,12,Physical,"Melee, 1 Target, Dash",The user’s Defense and Special Defense are each lowered by -1 Combat Stage.,3/5/2021 22:15:12,3/5/2021 22:15:12
120,Counter,Fighting,Scene x2,,,Physical,"Melee, 1 Target, Reaction, Trigger","Counter may be used as a Reaction when the user is hit by a damaging Physical Attack. Resolve the Triggering Attack, with Counter’s user resisting the attack one step further. After the attack is resolved, if Counter’s user was not Fainted, the triggering foe then loses Hit Points equal to twice the amount of Hit Points lost by the user from the triggering attack. Note that Counter is Physical, and while it cannot miss, it cannot hit targets immune to Fighting-Type Moves.",3/5/2021 22:15:12,3/5/2021 22:15:12
121,Cross Chop,Fighting,Scene x2,4,10,Physical,"Melee, 1 Target",Cross Chop is a Critical Hit on 16+.,3/5/2021 22:15:12,3/5/2021 22:15:12
122,Detect,Fighting,Scene,,,Status,"Self, Interrupt, Shield, Trigger","If the user is hit by a Move, the user may use Detect. The user is instead not hit by the Move. You do not take any damage nor are you affected by any of the Move’s effects.",3/5/2021 22:15:12,3/5/2021 22:15:12
123,Double Kick,Fighting,At-Will,3,3,Physical,"Melee, 1 Target, Double Strike",None,3/5/2021 22:15:12,3/5/2021 22:15:12
124,Drain Punch,Fighting,Scene x2,2,8,Physical,"Melee, 1 Target, Aura","After the target takes damage, the user gains HP equal to half of the damage they dealt to the target.",3/5/2021 22:15:12,3/5/2021 22:15:12
125,Dynamic Punch,Fighting,At-Will,9,10,Physical,"Melee, 1 Target",Dynamic Punch Confuses the target. Dynamic Punch ignores the target’s Evasion if they are Flanked.,3/5/2021 22:15:12,3/5/2021 22:15:12
126,Final Gambit,Fighting,Scene,2,,Special,"Melee, 1 Target",Final Gambit lowers the user to 0 Hit Points and causes them to Faint. Final Gambit then deals 1 point of damage to the target for every Hit Point lost by the user. Final Gambit does not cause items to activate.,3/5/2021 22:15:12,3/5/2021 22:15:12
127,Flying Press,Fighting,EOT,3,10,Physical,"Melee, Dash, 1 Target",Flying Press may deal Flying Type damage if the user wishes.,3/5/2021 22:15:12,3/5/2021 22:15:12
128,Focus Blast,Fighting,Scene x2,7,12,Special,"6, 1 Target, Smite, Aura",Focus Blast lowers the target’s Special Defense 1 Combat Stage on 18+.,3/5/2021 22:15:12,3/5/2021 22:15:12
129,Focus Punch,Fighting,Scene x2,2,15,Physical,"Melee, 1 Target, Priority (Limited), Aura","Use of Focus Punch must be declared as a Priority (Limited) action at the beginning of the round. Nothing happens at this time. At the end of the round, if the target hasn’t been hit by an attack dealing damage equal to at least 25% of the user’s Maximum Hit Points, the user may Shift and use Focus Punch. Focus Punch’s Frequency is not expended if it is negated by an attack.",3/5/2021 22:15:12,3/5/2021 22:15:12
130,Force Palm,Fighting,At-Will,2,6,Physical,"Melee, 1 Target, Aura",Force Palm Paralyzes the target on 18+.,3/5/2021 22:15:12,3/5/2021 22:15:12
131,Hammer Arm,Fighting,EOT,3,10,Physical,"Melee, 1 Target",The user lowers their Speed 1 Combat Stage.,3/5/2021 22:15:12,3/5/2021 22:15:12
132,High Jump Kick,Fighting,EOT,3,13,Physical,"Melee, Dash, 1 Target","If High Jump Kick misses, the user loses Hit Points equal to 1/4th of their Max Hit Points. A failure to hit due to a Move with the Shield keyword does not count as a miss. This Move cannot be used if Gravity is in effect.",3/5/2021 22:15:12,3/5/2021 22:15:12
133,Jump Kick,Fighting,At-Will,3,10,Physical,"Melee, Dash, 1 Target","If Jump Kick misses, the user loses Hit Points equal to 1/4th of their Max Hit Points. A failure to hit due to a Move with the Shield keyword does not count as a miss. This Move cannot be used if Gravity is in effect.",3/5/2021 22:15:12,3/5/2021 22:15:12
