id,name,frequency,actionType,trigger,target,effect,createdAt,updatedAt
17,Aura Break,Scene,Swift Action,,A foe within 6 meters,The foe reveals its abilities. Pick one ability; any Damage Bonuses (either Damage Base increases or Damage Roll bonuses) granted by the ability instead become Damage Penalties of the same value.,3/7/2021 0:43:28,3/7/2021 0:43:28
18,Aura Storm,Static,,,,"For each injury the user has, they gain a +3 Bonus to Damage Rolls.",3/7/2021 0:43:28,3/7/2021 0:43:28
19,Bad Dreams,At-Will,Swift Action,,,"All Sleeping targets within 5 meters lose a Tick of Hit Points. If at least one target lost Hit Points this way, the user gains a tick of Temporary Hit Points.",3/7/2021 0:43:28,3/7/2021 0:43:28
20,Ball Fetch,Scene,Free Action,(Reaction) A Pokémon is Released onto the battlefield,,The user may move up to their speed as a Free Action. They must end this movement closer to the triggering Pokémon.,3/7/2021 0:43:28,3/7/2021 0:43:28
21,Battery,Scene x2,Swift Action,,An adjacent ally,"The target's next Special Attack deals +2d6+4 damage. If that attack is Electric-Typed, it deals +3d6+6 more damage instead. ",3/7/2021 0:43:28,3/7/2021 0:43:28
22,Battle Armor,Static,,,,The user is immune to Critical Hits; they are instead normal hits.,3/7/2021 0:43:28,3/7/2021 0:43:28
23,Beam Cannon,Static,,,,"The Effect Range and Critical Hit Range of the user’s Ranged, 1-Target Moves are increased by 3.",3/7/2021 0:43:28,3/7/2021 0:43:28
24,Beast Boost,At-Will,Free Action,,,"Whenever the user knocks out a target, they receive +1 Combat Stage in their highest (non-HP) stat.",3/7/2021 0:43:28,3/7/2021 0:43:28
25,Beautiful,Scene,Standard Action,,,"The user may activate Beautiful to either gain +2 Beauty Dice in a Contest, or to gain +1 Special Attack Combat Stage and cure all allies within 5 meters of the Enraged Condition. ",3/7/2021 0:43:28,3/7/2021 0:43:28
26,Berry Storage,Daily,Extended Action,The user eats a Berry,,The user gains 3 instances of the Berry’s Digestion Buff instead of 1. It may only trade in one of these Digestion Buffs each Scene. Neither storing nor trading in these Digestion Buffs counts against the user’s normal limits. All Digestion Buffs gained from Berry Storage are lost after an Extended Rest.,3/7/2021 0:43:28,3/7/2021 0:43:28
27,Big Pecks,Static,,,,The user cannot have its Defense Stat lowered. The user cannot have its Defense Combat Stages lowered.,3/7/2021 0:43:28,3/7/2021 0:43:28
28,Big Swallow,Static,,,,"Connection - Stockpile. Whenever the user uses Swallow or Spit Up, it may treat the Stockpile Count as if it was one higher. This Ability has no effect if the Stockpile Counter is already 3.",3/7/2021 0:43:28,3/7/2021 0:43:28
29,Blaze,Static,,,,The user gains Last Chance with Fire.,3/7/2021 0:43:28,3/7/2021 0:43:28
30,Blessed Touch,Daily x2,Standard Action,,,An adjacent Pokémon or Trainer gains Hit Points equal to 1/4th of its maximum Hit Points.,3/7/2021 0:43:28,3/7/2021 0:43:28
31,Blow Away,Static,,,,"Connection - Whirlwind. When the user uses Whirlwind, all targets hit are pushed an additional 2 meters and lose a Tick of Hit Points.",3/7/2021 0:43:28,3/7/2021 0:43:28
32,Blur,Static,,,,"Attacks and Moves targeting you that don’t require an Accuracy Check now require one, as though they had an Accuracy Check of 2. You may only apply half of your Evasion to these Attacks and Moves.",3/7/2021 0:43:28,3/7/2021 0:43:28
33,Bodyguard,Scene x2,Free Action,An adjacent Ally is hit by an attack,,"The user and the triggering Ally switch places, and the user becomes the target of the triggering attack instead, taking damage from the attack as if resisted one step further. If switching places would not move the triggering Ally out of the area-of-effect of a Burst, Blast, Cone, or Line, this Ability does not prevent the ally from being hit.",3/7/2021 0:43:28,3/7/2021 0:43:28
34,Bone Lord,At-Will,Free Action,"You hit with Bone Club, Bonemerang, or Bone Rush",,Connection – Bonemerang. This Ability may be activated when hitting with Bone Club to automatically Flinch its target; or to use Bonemerang as a Priority Move; or when hitting with Bone Rush to cause the attack to automatically hit 5 times. ,3/7/2021 0:43:28,3/7/2021 0:43:28
35,Bone Wielder,Static,,,,"The user’s Bone Club, Bonemerang, and Bone Rush Moves ignore immunity against Ground-Type Moves.",3/7/2021 0:43:28,3/7/2021 0:43:28
36,Brimstone,Static,,,,"Whenever the user inflicts Burn or Poison with a damaging Fire-Type or Poison-Type Attack, the target becomes both Burned and Poisoned.",3/7/2021 0:43:28,3/7/2021 0:43:28
37,Bulletproof,Static,,,,"The user resists all X target ranged attacks one step further. This refers to attacks and Moves that simply hit one target or specify hitting multiple targets, such as Razor Wind hitting three targets. It has no effect on Moves that are capable of hitting multiple targets through areas of effect, such as Bursts or Cones.",3/7/2021 0:43:28,3/7/2021 0:43:28
38,Bully,Scene,Free Action,The user hits a target for Super-Effective Damage with a Melee Move,,"The target of the attack is pushed 2 Meters, becomes Tripped, and gains an Injury.",3/7/2021 0:43:28,3/7/2021 0:43:28
39,Cave Crasher,Static,,,,The user resists Ground-Type and Rock-Type attacks one step further.,3/7/2021 0:43:28,3/7/2021 0:43:28
40,Celebrate,At-Will,Swift Action,The user hits a foe with a damaging attack,,"The user may immediately Disengage as a Free Action. Bonus: Whenever the user Disengages for any reason, they may Shift 2 meters instead of 1.",3/7/2021 0:43:28,3/7/2021 0:43:28
41,Chemical Romance,Static,,,,"Connection - Sweet Scent. Whenever the user hits a male target with Poison Gas, Smog, Sweet Scent, Toxic, or Venom Drench, that target becomes Infatuated with the user.",3/7/2021 0:43:28,3/7/2021 0:43:28
42,Cherry Power,Daily,Swift Action,,,"The user gains 15 Temporary Hit Points, and is cured of all Persistent Status Afflictions.",3/7/2021 0:43:28,3/7/2021 0:43:28
43,Chilling Neigh,At-Will,Free Action,The user causes a foe to Faint with a damaging attack,,"The user’s Attack is raised by 1 Combat Stage. In addition, all foes within 3m of the user take a -2 penalty to evasion for one full round.",3/7/2021 0:43:28,3/7/2021 0:43:28
44,Chlorophyll,Static,,,,"While in Sunny Weather or under 50% Max Hit Points, the user’s Initiative is doubled.",3/7/2021 0:43:28,3/7/2021 0:43:28
45,Clay Cannons,At-Will,Swift Action,,,"Until the end of the round, the user may originate any Ranged Move they use from any square within 2 meters of itself.",3/7/2021 0:43:28,3/7/2021 0:43:28
46,Clear Body,Static,,,,"The user’s Combat Stages may not be lowered by the effect of foes’ Feautres, Abilities, or Moves. Status Affictions may still alter their Combat Stages.",3/7/2021 0:43:28,3/7/2021 0:43:28
47,Cloud Nine,Scene,Free Action,,,The weather of the field is set to normal.,3/7/2021 0:43:28,3/7/2021 0:43:28
48,Cluster Mind,Static,,,,The user’s Move Pool limit is increased by +2.,3/7/2021 0:43:28,3/7/2021 0:43:28
49,Color Change,At-Will,Free Action,The user is hit by a Move,,The user’s Type changes to match the Type of the triggering Move.,3/7/2021 0:43:28,3/7/2021 0:43:28
50,Color Theory,Static,,,,"Upon gaining this ability at Birth, the user rolls 1d12 to determine the color of their tail secretions. 1 = Red; 2 = Red-Orange; 3 = Orange; 4 = Yellow- Orange; 5 = Yellow; 6 = Yellow-Green; 7 = Green; 8 = Blue-Green; 9 = Blue; 10 = Blue-Violet; 11 = Violet; 12 Red-Violet. Red is tied to Attack, Orange is tied to Defense, Yellow is tied to",3/7/2021 0:43:28,3/7/2021 0:43:28
51,Comatose,At-Will,Move Action,,,"The user falls Asleep, and regains a Tick of Hit Points. Bonus: The user may act normally while Asleep and ignores all other penalties from being Asleep. While Asleep, the user does not make Save Checks to wake up, and wakes up from being hit only if they want to.",3/7/2021 0:43:28,3/7/2021 0:43:28
52,Combo Striker,At-Will,Free Action,"The user rolls a natural 1, 10, or 11 on an attack roll with a damaging move",,"After the triggering attack is resolved, the user may use a Struggle Attack as a Free Action. Note: Yes, Struggle Attacks made due to Combo Striker may trigger Combo Striker.",3/7/2021 0:43:28,3/7/2021 0:43:28
53,Competitive,Static,,,,"Whenever the user has its Combat Stages lowered, by something other than its own Moves or Abilities, the user’s",3/7/2021 0:43:28,3/7/2021 0:43:28
54,Compound Eyes,Static,,,,The user gains a +3 Bonus to all Accuracy Rolls.,3/7/2021 0:43:28,3/7/2021 0:43:28
55,Confidence,Scene,Standard Action,,,Choose a Combat Stat. All allies within 5 meters of the user gain +1 CS in the Chosen Stat.,3/7/2021 0:43:28,3/7/2021 0:43:28
56,Conqueror,Scene,Free Action,The user causes a foe to Faint by using a damaging Physical or,,,3/7/2021 0:43:28,3/7/2021 0:43:28
57,Contrary,Static,,,,"If something would raise the user’s Combat Stages, it instead lowers the user’s Combat Stages by the same amount. If something would lower the user’s Combat Stages, it instead raises the user’s Combat Stages by the same amount.",3/7/2021 0:43:28,3/7/2021 0:43:28
58,Copy Master,Static,,,,"Connection - Copycat. Whenever the user uses Copycat or Mimic, it gains +1 Combat Stage in a Stat of its choice after the Move is resolved.",3/7/2021 0:43:28,3/7/2021 0:43:28
59,Corrosion,Static,,,,"The user's Poison-Type attacks are resisted one step less, and deal damage to Immune targets as if they were doubly resisted. The user may Poison and Badly Poison Steel and Poison-Type Pokemon.",3/7/2021 0:43:28,3/7/2021 0:43:28
60,Corrosive Toxins,Scene,Free Action,,,"Connection - Toxic. The user may activate this Ability when using Toxic to allow the Move to ignore Immunity to the Status Affliction, Blessings, and the effects of Abilities that may prevent Hit Point loss from being Badly Poisoned (such as Magic Guard or Poison Heal).",3/7/2021 0:43:28,3/7/2021 0:43:28
61,Cotton Down,Scene,Free Action,(Reaction) The user is hit by an attack,,"All Pokémon in a Burst 1 around the user have their speed lowered by 1 CS, and are Slowed for one full round.",3/7/2021 0:43:28,3/7/2021 0:43:28
62,Courage,Static,,,,"While at or under 1/3rd of its Max Hit Point value, the user gains a +5 Damage Bonus to all Damage Rolls, and 5 Damage Reduction.",3/7/2021 0:43:28,3/7/2021 0:43:28
63,Covert,Static,,,,"If this Pokémon is standing on a terrain related to its natural habitat, its Evasion is increased by +2. For Ice types, this is generally snowy or icy terrain; Ground and Ground types are apt to feel at home in sandy terrain or craggy rocks; Grass types, Bug Types, and others likely feel at home in long grass. Some Pokémon may be at home in several types of terrain.",3/7/2021 0:43:28,3/7/2021 0:43:28
64,Cruelty,Scene,Swift Action,The user hits a foe with a damaging attack,,"After Damage is Resolved, the foe gains an Injury. The user is then informed of the total number of Injuries currently on the target, and may use that number to “purchase” the effects listed below. »» 1 Injury: The target loses 2 Hit Points. May be “purchased” multiple times. »» 1 Injury: The target is Slowed. »» 2 Injuries: Until the end of the encounter, the target may not gain Hit Points or Temporary Hit Points from any source. This effect ends if the target is switched out or Takes a Breather.",3/7/2021 0:43:28,3/7/2021 0:43:28
65,Crush Trap,Scene,Free Action,The user successfully Grapples a target,,"Connection – Wrap. When you activate this ability, the user may immediately deal damage to the target as if the user had hit with a Struggle Attack. There is no Accuracy Roll and thus this damage cannot miss, be a Critical Hit, or trigger any Effect Ranges.",3/7/2021 0:43:28,3/7/2021 0:43:28
66,Curious Medicine,Scene,Swift Action,,,All allies within 2m of the user have their CS reset to their default values.,3/7/2021 0:43:28,3/7/2021 0:43:28
67,Cursed Body,Scene,Free Action,The user is hit by a Damaging Move.,,The Move becomes Disabled.,3/7/2021 0:43:28,3/7/2021 0:43:28
68,Cute Charm,Scene,Free Action,A foe of the opposite gender attacks the user with a Melee Attack,,The foe becomes Infatuated.,3/7/2021 0:43:28,3/7/2021 0:43:28
69,Cute Tears,Scene,Free Action,The user is hit by a Damaging Attack,,The attacking foe loses 2 Combat Stages in the Attack Stat used by the triggering Move.,3/7/2021 0:43:28,3/7/2021 0:43:28
70,Damp,Static,,,,"Whenever anyone within 10 meters would use the Moves Self-Destruct or Explosion or activate the Aftermath Ability, those effects fail and instead do nothing. Bonus: The user gains a +1d10 Bonus to Damage Rolls with Water-Typed Moves.",3/7/2021 0:43:28,3/7/2021 0:43:28
71,Dancer,Scene x2,Free Action,Someone within 10 meters uses a Status-Class Dance Move,,The user may immediately use the triggering Move as a free action.,3/7/2021 0:43:28,3/7/2021 0:43:28
72,Danger Syrup,Scene,Free Action,The user is hit by an attack,,"Connection - Sweet Scent. When this Ability is activated the user may use Sweet Scent as a Free Action, ignoring Frequency. Whenever the user hits a foe with Sweet Scent, that foe is Blinded for 1 full round.",3/7/2021 0:43:28,3/7/2021 0:43:28
73,Dark Art,Static,,,,The user gains Last Chance with Dark.,3/7/2021 0:43:28,3/7/2021 0:43:28
74,Dark Aura,Static,,,,The user and all allies have the Damage Base of their damaging Dark Type Attacks increased by +1.,3/7/2021 0:43:28,3/7/2021 0:43:28
75,Dauntless Shield,Static,,,,The user’s default Defense Combat Stages are increased by +1.,3/7/2021 0:43:28,3/7/2021 0:43:28
76,Daze,Scene,Standard Action,,,"Make an AC4 Status Attack against a target within 6 meters. If you hit, the target falls asleep.",3/7/2021 0:43:28,3/7/2021 0:43:28
77,Dazzling,Scene x2,Swift Action,,An adjacent foe,"For the rest of the Scene, the target's Initiative is lowered by 10 and cannot use Priority Moves. Bonus: Interrupt Moves may not be declared in response to the user's actions.",3/7/2021 0:43:28,3/7/2021 0:43:28
78,Deadly Poison,Daily,Free Action,The user Poisons a target,,The target is Badly Poisoned instead.,3/7/2021 0:43:28,3/7/2021 0:43:28
79,Decoy,Scene,Full Action,,,"The user uses the Move “Follow Me” as if it was on their Move List, and their Evasion is raised by +2 until the end of their next turn.",3/7/2021 0:43:28,3/7/2021 0:43:28
80,Deep Sleep,Static,,,,"When asleep, this Pokémon restores a Tick of Hit Points at the end of each turn.",3/7/2021 0:43:28,3/7/2021 0:43:28
81,Defeatist,Static,,,,"The user gain a +2d6 Bonus to Damage Rolls while over 50% of its Maximum Hit Points. While at 50% Max Hit Points or lower, the user gains a -5 penalty to Damage Rolls and +10 Initiative.",3/7/2021 0:43:28,3/7/2021 0:43:28
82,Defiant,Static,,,,"Whenever the user has its Combat Stages lowered, by something other than its own Moves or Abilities, the user’s Attack is raised 2 Combat Stages.",3/7/2021 0:43:28,3/7/2021 0:43:28
83,Defy Death,At-Will,Swift Action,,,"The user instantly removes up to three injuries, and gains a Tick of Hit Points for each injury removed this way. Defy Death may be used to cure up to three Injuries per day. Injuries removed this way do not count towards the total number of injuries that can be healed per day.",3/7/2021 0:43:28,3/7/2021 0:43:28
84,Delayed Reaction,Scene,Free Action,The user is hit by a direct damaging attack,,"Halve the damage taken by the user. At the end of the user’s next turn, the user loses Hit Points equal to the other half of the damage. For example, if the user is hit for 11 damage and triggers this Ability, the user would take 5 damage upon being hit and 6 damage at the end of its next turn.",3/7/2021 0:43:28,3/7/2021 0:43:28
85,Delivery Bird,Static,,,,"The user may hold two Held Items at once. Whenever an Ability or Move affects the user’s Held Items, you may choose which one is affected.",3/7/2021 0:43:28,3/7/2021 0:43:28
86,Desert Weather,Static,,,,"The user is immune to Sandstorm Damage, resists Fire-Type Moves in Sunny Weather, and gains a Tick of Temporary Hit Points at the end of each of its turns while in Rainy Weather.",3/7/2021 0:43:28,3/7/2021 0:43:28
87,Designer,At-Will,Extended Action,,,"The user is adept at crafting clothes for itself out of common leaves. When activating this ability to create a leaf suit, the user may choose two Types; the user resists the chosen types one step further while wearing that suit. The user may only have one leaf suit at a time, and creating a new suit destroys the old one.",3/7/2021 0:43:28,3/7/2021 0:43:28
88,Diamond Defense,Static,,,,"Connection - Stealth Rock. Stealth Rock’s Frequency is Scene x2, and the user’s Stealth Rocks can be treated as dealing Rock-Type or Fairy-Type Damage, whichever is more effective.",3/7/2021 0:43:28,3/7/2021 0:43:28
89,Dig Away,Daily,Free Action,,,"Connection - Dig. When hit by a Move, this Pokémon may activate this Feature to use Dig, frequency allowing, as an interrupt to avoid the attack and shift underground immediately. This consumes a command as normal. The terrain must allow for Dig to be used.",3/7/2021 0:43:28,3/7/2021 0:43:28
90,Dire Spore,Static,,,,"Connection - Spore. Whenever the user hits a target with Spore, that target is also Poisoned.",3/7/2021 0:43:28,3/7/2021 0:43:28
91,Discipline,Scene,Free Action,,,"If the user gains initiative and is Confused, Enraged, Infatuated, or Flinched, they may activate Discipline to cure themselves of any of these conditions.",3/7/2021 0:43:28,3/7/2021 0:43:28
92,Disguise,Daily,Free Action,The user is hit by a damaging Move,,The triggering attack attack instead misses and has no effect. The user then gains +1 CS in a Stat of their choice.,3/7/2021 0:43:28,3/7/2021 0:43:28
93,Dodge,Daily,Free Action,The user is hit by a damaging Move,,The triggering Move instead misses.,3/7/2021 0:43:28,3/7/2021 0:43:28
94,Download,Scene,Swift Action,,Pokémon or Trainers,The target must reveal whether its Defense or,3/7/2021 0:43:28,3/7/2021 0:43:28
95,Dragon’s Maw,Scene x2,Free Action,The user hits with a damaging Dragon-Type Move,,"One target hit by the attack becomes one stage more vulnerable to the attack (applied after all other modifiers). Immune targets are treated as initially double-resistant for the purposes of this Ability, and may be damaged normally.",3/7/2021 0:43:28,3/7/2021 0:43:28
96,Dream Smoke,Scene,Free Action,The user is hit by a Melee Attack,,The attacking foe falls Asleep.,3/7/2021 0:43:28,3/7/2021 0:43:28
97,Dreamspinner,Scene x3,Swift Action,,,"All Sleeping Foes within 3 meters lose a Tick of Hit Points, and the user gains a Tick of Temporary Hit Points.",3/7/2021 0:43:28,3/7/2021 0:43:28
98,Drizzle,Scene x3,Swift Action,,,The Weather changes to be Rainy for 1 full round.,3/7/2021 0:43:28,3/7/2021 0:43:28
99,Drought,Scene x3,Swift Action,,,The Weather changes to be Sunny for 1 full round.,3/7/2021 0:43:28,3/7/2021 0:43:28
100,Drown Out,Scene x2,Free Action,A foe uses a Move with the Sonic keyword,,The triggering Move fails and has no effect.,3/7/2021 0:43:28,3/7/2021 0:43:28
101,Dry Skin,Static,,,,"Whenever the user is hit by a damaging Fire- Type Move or ends their turn in Sunny Weather, they lose a Tick of Hit Points. The user is immune to the damage and effects of Water-Type Moves, and whenever the user is hit by a damaging Water-Type Move or ends their turn in Rainy Weather, they gain a Tick of Hit Points.",3/7/2021 0:43:28,3/7/2021 0:43:28
102,Dust Cloud,Static,,,,Connection - Poison Powder. The user may use Moves with the Powder Keyword as if they had a Range of “Burst 1”.,3/7/2021 0:43:28,3/7/2021 0:43:28
103,Early Bird,Static,,,,"The user gains a bonus to Initiative equal to half its Speed, and a +3 Bonus on Save Checks against Sleep.",3/7/2021 0:43:28,3/7/2021 0:43:28
104,Effect Spore,Scene,Free Action,The user is hit by a Melee Attack,,"Roll 1d6. On a result of 1 or 2, the attacker is Poisoned. On a result of 3 or 4, the attacker is Paralyzed. On a result of 5 or 6, the attacker falls Asleep.",3/7/2021 0:43:28,3/7/2021 0:43:28
105,Eggscellence,Static,,,,"Connection – Barrage. The user receives STAB when using Barrage and Egg Bomb. If Normal Typed, these Moves deal Damage as if one step more effective on 16+.",3/7/2021 0:43:28,3/7/2021 0:43:28
106,Electric Surge,Scene x3,Swift Action,,,"The Field becomes Electrified, as if affected by the Move Electric Terrain, for one full round.",3/7/2021 0:43:28,3/7/2021 0:43:28
107,Electrodash,Scene x2,Swift Action,,,The user may make a Sprint Action as a Free Action. Bonus: The user may free itself from the Stuck condition as a Shift Action. The user does not provoke Attacks of Opportunity when Sprinting.,3/7/2021 0:43:28,3/7/2021 0:43:28
108,Emergency Exit,Scene,Free Action,,,"When the user’s Hit Points drop below half their maximum, their trainer may immediately recall the user and send out another Pokemon as a Free Action. If the user hasn’t taken their turn yet, their replacement may act this round.",3/7/2021 0:43:28,3/7/2021 0:43:28
109,Empower,Scene,Swift Action,,,The user may use a self-targeting Status-Class Move as a Free Action.,3/7/2021 0:43:28,3/7/2021 0:43:28
110,Enduring Rage,Static,,,,"The user may not make rolls to cure themselves from the Enraged condition. However, while Enraged, the user gains 5 Damage Reduction.",3/7/2021 0:43:28,3/7/2021 0:43:28
111,Enfeebling Lips,Static,,,,"Connection - Lovely Kiss. Whenever the user uses the Move Lovely Kiss, they may choose a Stat. If the Move successfully hits, the Pokémon or Trainer being targeted loses 2 Combat Stages in that Stat.",3/7/2021 0:43:28,3/7/2021 0:43:28
112,Exploit,Static,,,,"Whenever you deal Super-Effective Damage to a target, that target treats your Damage Roll as it were increased by +5.",3/7/2021 0:43:28,3/7/2021 0:43:28
113,Fabulous Trim,Static,,,,Furfrou’s Ability depends on its current hairstyle. A Furfrou’s hairstyle can be changed as an Extended Action at an appropriate hair parlor. Star Trim: Celebrate Diamond Trim: Defiant Heart Trim: Cute Tears Pharaoh Trim: Sand Veil Kabuki Trim: Inner Focus La Reine Trim: Intimidate Matron Trim: Friend Guard Dandy Trim: Moxie Debutante Trim: Confidence,3/7/2021 0:43:28,3/7/2021 0:43:28
114,Fade Away,Scene,"Standard Action, Interrupt",,,"The user becomes Invisible until the beginning of their next turn, and may immediately Shift. This Ability may be activated as an Interrupt when hit by a Physical attack; the user may declare the use of Fade Away to avoid all damage and/or effects of the move.",3/7/2021 0:43:28,3/7/2021 0:43:28
115,Fairy Aura,Static,,,,The user and all allies have the Damage Base of their damaging Fairy Type Attacks increased by +1.,3/7/2021 0:43:28,3/7/2021 0:43:28
116,Fashion Designer,Daily,Extended Action,,,The user knows how to make useful accessories from mere common leaves. The user may craft one of the consumable Held Items below by activating this ability. Lucky Leaf - Grass Type Booster for one encounter. Tasty Reeds - Bug Type Booster for one encounter. Dew Cup - Same Effect as an Occa Berry. Thorn Mantle - Same Effect as a Coba Berry. Chewy Cluster - Same Effect as Leftovers. Decorative Twine – Roll +2d6 on any Move during a Contest.,3/7/2021 0:43:28,3/7/2021 0:43:28
117,Fiery Crash,Static,,,,"Whenever the user uses a Move with the Dash keyword, they may either increase that Move’s Damage Base by +2, or change the Move to be Fire-Type if it was not already. All Moves with the Dash keyword performed as Fire-Typed burn their target on 19+, or increase the effect range by +2 if they could already inflict Burn.",3/7/2021 0:43:28,3/7/2021 0:43:28
118,Filter,Static,,,,The user gains +5 Damage Reduction against Super- Effective damage.,3/7/2021 0:43:28,3/7/2021 0:43:28
119,Flame Body,Scene,Free Action,The user is hit by a Melee Attack,,The attacking foe becomes Burned.,3/7/2021 0:43:28,3/7/2021 0:43:28
120,Flame Tongue,Scene,Free Action,The user hits a foe with Lick.,,Connection – Lick. The foe hit with Lick gains an Injury and becomes Burned.,3/7/2021 0:43:28,3/7/2021 0:43:28
121,Flare Boost,Scene,Swift Action,,,The user gains +3Attack and,3/7/2021 0:43:28,3/7/2021 0:43:28
122,Flash Fire,Static,,,,"The user is immune to the damage and effects of Fire-Type attacks. If the user is hit by a Fire-Type attack, they gain +1 CS in their choice of Attack or",3/7/2021 0:43:28,3/7/2021 0:43:28
123,Flavorful Aroma,At-Will,Free Action,The user uses Aromatic Mist,,Connection – Aromatic Mist. All allies  affected by Aromatic Mist gain +1 to Accuracy Rolls  and +5 to Damage Rolls for one full round.,3/7/2021 0:43:28,3/7/2021 0:43:28
124,Flower Gift,Scene,Swift Action,,,"Flower Gift may only be used if the Weather is Sunny or if the user is under 50% Hit Points. When activated, the user may pick two Stats, gaining +2 Combat Stages in each Stat. All targets within 2 meters also gain +1 Combat Stage in each of the chosen Stats.",3/7/2021 0:43:28,3/7/2021 0:43:28
125,Flower Power,Static,,,,The user may perform damaging Grass Type Moves as if they were their choice of either Physical or,3/7/2021 0:43:28,3/7/2021 0:43:28
126,Flower Veil,Static,,,,Grass-Type Pokemon within 5 meters cannot have their Combat Stages lowered.,3/7/2021 0:43:28,3/7/2021 0:43:28
127,Fluffy,Static,,,,"The user resists damaging Melee attacks one step further, but resists Fire-Type attacks one step less.",3/7/2021 0:43:28,3/7/2021 0:43:28
128,Fluffy Charge,Static,,,,"Connection – Charge. Whenever the user uses Charge, they gain +1 CS to Defense.",3/7/2021 0:43:28,3/7/2021 0:43:28
129,Flutter,At-Will,Shift Action,,,"The user gains +3 Evasion until the end of their next turn, and cannot be Flanked.",3/7/2021 0:43:28,3/7/2021 0:43:28
130,Flying Fly Trap,Static,,,,The Pokémon takes no damage from Ground Type Moves and Bug Type Moves.,3/7/2021 0:43:28,3/7/2021 0:43:28
131,Focus,Static,,,,The user gains Last Chance with Fighting.,3/7/2021 0:43:28,3/7/2021 0:43:28
